country,sex,year,not_adequately_defined_000
bwa,m,1985,0.03200000151991844
bwa,f,1985,0.03200000151991844
bwa,mf,1996,0.47600001096725464
bwa,m,1996,0.35100001096725464
bwa,f,1996,0.125
bwa,mf,1998,7.195000171661377
bwa,m,1998,3.746000051498413
bwa,f,1998,3.4489998817443848
bwa,mf,2000,5.9670000076293945
bwa,m,2000,3.0829999446868896
bwa,f,2000,2.882999897003174
bwa,mf,2001,3.247999906539917
bwa,m,2001,1.680999994277954
bwa,f,2001,1.5670000314712524
bwa,mf,2003,0.0430000014603138
bwa,m,2003,0.0430000014603138
bwa,f,2003,0.0
bwa,mf,2006,0.0
bwa,m,2006,0.0
bwa,f,2006,0.0
bra,mf,2000,835.822998046875
bra,m,2000,533.448974609375
bra,f,2000,302.3739929199219
bra,mf,2002,202.0
bra,m,2002,179.0
bra,f,2002,23.0
bra,mf,2003,198.0
bra,m,2003,175.0
bra,f,2003,23.0
bra,mf,2004,227.0
bra,m,2004,207.0
bra,f,2004,20.0
bra,mf,2005,198.0
bra,m,2005,183.0
bra,f,2005,16.0
bra,mf,2006,218.0
bra,m,2006,199.0
bra,f,2006,18.0
bra,mf,2007,209.0
bra,m,2007,174.0
bra,f,2007,36.0
bra,mf,2008,200.60299682617188
bra,m,2008,175.25100708007812
bra,f,2008,25.351999282836914
bra,mf,2009,202.4340057373047
bra,m,2009,187.42100524902344
bra,f,2009,15.012999534606934
bra,mf,2010,120.41699981689453
bra,mf,2011,129.85800170898438
bra,m,2011,97.24800109863281
bra,f,2011,32.61000061035156
bra,mf,2012,71.16899871826172
bra,m,2012,60.18000030517578
bra,f,2012,10.98900032043457
bra,mf,2013,63.9900016784668
bra,m,2013,55.944000244140625
bra,f,2013,8.045999526977539
bra,mf,2014,122.25
vgb,mf,1991,0.05000000074505806
vgb,m,1991,0.029999999329447746
vgb,f,1991,0.019999999552965164
vgb,mf,2009,0.19099999964237213
vgb,mf,2010,0.18299999833106995
brn,mf,1991,0.0949999988079071
brn,m,1991,0.07800000160932541
brn,f,1991,0.017000000923871994
bgr,mf,2000,15.300000190734863
bgr,m,2000,9.100000381469727
bgr,f,2000,6.099999904632568
bfa,mf,1994,18.114999771118164
bfa,mf,2006,136.61599731445312
bfa,m,2006,96.06999969482422
bfa,f,2006,40.54600143432617
khm,mf,2010,3.821000099182129
khm,m,2010,2.052000045776367
khm,f,2010,1.7690000534057617
